,Код КПГЗ,Код ОКПД-2 (ОКПД2014)
165,01.13.01.01.02.01,26.20.15.000
166,01.13.01.02.01,26.20.11.110
167,01.13.02.07,26.20.15.000
168,01.13.04.01,26.20.16
169,01.13.04.01.01,26.40.34.110
170,01.13.04.02.01.04,26.20.16.120
171,01.13.04.02.01.07,26.20.16.120
172,01.13.04.03.01,26.20.16.150
173,01.13.04.04.03,26.20.16.170
174,01.13.04.99.01,26.20.16.190
175,01.13.05.05,26.20.21.120
176,01.13.06.07,26.20.15.000
177,01.13.07.03,27.12.40.000
178,01.13.07.05.01,27.11.50.120
179,01.13.07.05.01.01,27.11.50.120
180,01.13.07.05.03,27.12.31.000
181,01.13.07.05.07,27.20.23
182,01.13.08.04,26.30.11.110
183,01.13.09.03.05,26.30.11.110
184,01.13.09.03.08,26.30.30.000
185,01.13.09.05.01,26.30.11.150
186,01.13.09.99.02,26.30.11.110
187,01.13.11.03.04.01,26.70.14.190
188,01.13.11.03.04.04,26.70.17
189,01.13.11.03.04.05,26.70.15.000
190,01.13.11.03.05.01,26.40.32
191,01.13.11.03.05.05.02,26.40.31.120
192,01.13.11.03.05.05.03,26.40.31.190
193,01.13.11.03.05.07,26.40.42.120
194,01.13.11.03.05.09,26.40.33.190
195,01.13.12.04,26.20.16.140
196,01.13.12.06.01.02,26.20.14.000
197,01.13.12.06.01.03,26.20.14.000
198,01.13.12.06.02,26.20.14.000
199,01.13.13.05,26.20.21.120
200,01.13.16.05,28.29.70
201,01.13.16.06,25.73.30.230
202,01.13.17.02,26.20.40.190
203,01.13.17.07,26.20.21.110
204,01.13.17.99,26.20.40.190
205,01.14,58.11.1
206,01.14.11,58.11.19.000
207,01.15.01.02.03,17.12.14
208,01.15.01.02.04,17.12.14.179
209,01.15.01.04,17.12.72.120
210,01.15.01.07,17.23.13.199
211,01.15.01.99.01,17.29.19.190
212,01.20.07.03.02,13.92.11.110
213,01.20.07.03.03,31.03.12.120
214,01.20.09.01.02,32.40.12.190
215,01.20.10.01,27.51.30.000
216,01.20.12,23.12.13.110
217,01.20.99,22.29.23.120
218,01.20.99.02.01,26.52.14.000
219,01.20.99.02.02,26.52.14.000
220,01.20.99.02.03,26.52.14.000
221,01.20.99.05,25.73
222,01.22,68.10
223,01.22.02,68.10.1
224,01.24.02,13.10.62.000
225,01.24.04.04,13.92.12.112
226,01.24.04.06,13.92.12.114
227,01.25.02.01.08,27.51.28.110
228,01.25.02.02,27.51
229,01.25.02.99.02,28.24.11.000
230,01.25.03.02,22.29.23.120
231,02.01.01.01.01,71.20.19.110
232,02.01.02,71.20.12.000
233,02.01.03.03,71.12.31.000
234,02.01.03.05,71.12.31.000
235,02.01.03.08,71.12.31.000
236,02.01.04.06,72.19.1
237,02.02.01.02,71.11
238,02.02.01.03,71.11
239,02.02.01.06,71.11.21.000
240,02.02.05.01,71.12.19
241,02.02.05.02.04,71.12.19
242,02.02.05.03.06,71.12.19
