,Код КПГЗ,Код ОКПД-2 (ОКПД2014)
2620,03.06.01.03.06.03,71.12.20.190
2621,03.06.01.03.06.10,71.12.20.190
2622,03.06.01.03.08.06,71.12.20.190
2623,03.06.01.03.09.01,71.12.20.190
2624,03.06.01.03.09.02,71.12.20.190
2625,03.06.01.03.11.04,71.12.20.190
2626,03.06.01.03.13.03,71.12.20.190
2627,03.06.01.03.18.01,71.12.20.190
2628,03.06.01.03.18.03,71.12.20.190
2629,01.15.04.02.04,32.99.12.120
2630,03.06.01.03.20.10,71.12.20.190
2631,03.06.01.03.20.11,71.12.20.190
2632,03.06.01.03.23,71.12.20.190
2633,03.06.01.04,71.12.20.190
2634,03.06.01.04.01.04,71.12.20.190
2635,03.06.01.04.02.01,71.12.20.190
2636,03.06.01.04.02.08,71.12.20.190
2637,03.06.01.04.06.04,71.12.20.190
2638,03.06.01.04.08.04,71.12.20.190
2639,03.06.01.04.09.01,71.12.20.190
2640,03.06.01.04.18,71.12.20.190
2641,03.06.01.04.23.01,71.12.20.190
2642,01.15.08.04,17.23.12.120
2643,03.06.01.05.01,71.12.20.190
2644,03.06.01.05.07.01,71.12.20.190
2645,03.06.01.05.08.03,71.12.20.190
2646,03.06.01.05.03.06,71.12.20.190
2647,03.06.01.05.09.01,71.12.20.190
2648,03.06.01.05.04.01,71.12.20.190
2649,03.06.01.05.04.05,71.12.20.190
2650,03.06.01.05.11.01,71.12.20.190
2651,03.06.01.05.06.07,71.12.20.190
2652,03.06.01.05.11.02,71.12.20.190
2653,03.06.01.05.07,71.12.20.190
2654,03.06.01.05.14,71.12.20.190
2655,01.15.05.02.06.03,25.99.2
2656,03.06.01.05.14.04,71.12.20.190
2657,03.06.01.05.15.03,71.12.20.190
2658,03.06.01.05.18.02,71.12.20.190
2659,03.06.01.05.18.04,71.12.20.190
2660,03.06.01.05.23.03,71.12.20.190
2661,03.06.02,71.12
2662,03.06.04,71.12.20.190
2663,03.06.04.01.05,71.12.20.190
2664,03.06.04.02.01,71.12.20.190
2665,03.06.04.02.03,71.12.20.190
2666,03.06.04.02.08,71.12.20.190
2667,03.06.04.02.09,71.12.20.190
2668,03.06.04.06.02,71.12.20.190
2669,01.11.03.12.01,22.23.11
2670,03.06.04.06.07,71.12.20.190
2671,03.06.04.07.07,71.12.20.190
2672,03.06.04.08.07,71.12.20.190
2673,03.06.04.10.04,71.12.20.190
2674,03.06.04.13.05,71.12.20.190
2675,03.06.04.14.01,71.12.20.190
2676,03.06.04.15.01,71.12.20.190
2677,03.06.04.16.02,71.12.20.190
2678,03.06.04.19,71.12.20.190
2679,03.06.04.22.04,71.12.20.190
2680,03.07.01.01,41.20
2681,03.07.01.01.02.99,43.99.90.190
2682,03.07.01.01.03,41.20
2683,03.07.01.04.03,43.99.90.190
2684,03.07.01.04.05,43.99.90.190
2685,03.07.02.03,33.12.18.000
2686,03.07.03.05,45.20.21.519
2687,01.01.01.19.01.09,11.07
2688,02.03.01.02.07,41.20.40
2689,03.07.08.01,33.13.12.000
2690,03.07.08.03,33.13.12.000
2691,03.07.99.09,33.14.19.000
2692,03.08.01.00,81.29.1
2693,03.08.01.01.01.01,81.21.10.000
2694,03.08.01.01.01.99,81.21.10.000
2695,03.08.03.01.01,38.21.22.000
2696,03.08.03.04.02,38.22.29.000
2697,01.01.13.03.04,10.86.10.241
2698,03.08.05.03,39.00.23.100
2699,01.12.01.02,28.99.39.190
2700,01.15.07.02,17.23.13.190
2701,03.12.03.01,61.20.50.110
2702,03.12.05.04,53.10.11.000
2703,03.17.03,90.03.11
2704,03.18.05,93.19.13.000
2705,03.04.01.02.02,88.10.15
2706,03.18.06,93.19.13.000
2707,03.33.02.01,51.10.11.000
2708,01.09.06.02,30.20.1
2709,03.18.12,93.19.13.000
2710,01.20.03.04.04,14.12.30.150
2711,03.20,52.10
2712,03.22.01,70.22.11.000
2713,03.25,64.19
2714,03.27.02,75.00.11.000
2715,03.28.05,75.00.11.000
2716,03.30.04.02,71.12
2717,03.30.05.04,71.12
2718,03.31.01,68.20.1
2719,03.31.02,77.39.19.119
2720,03.35.02,94.11.10.000
2721,03.39.02.01,88.99.12.000
2722,01.12.04.01.02,29.10.59.130
2723,01.19.01.05,14.14.22.110
2724,01.19.01.12,14.14.30.110
2725,01.19.01.14,14.39.10.190
2726,01.19.01.17,14.13.11.110
2727,01.19.01.20,14.19.12.190
2728,01.19.02.11,14.13.12.130
2729,01.19.06.17,15.12.12.199
2730,03.39.02.03,88.99.12.000
2731,03.40.02,68.10.13.000
2732,03.44,82.99.19.000
2733,03.31.03.05.01.15,43.99.90.160
2734,03.31.03.05.01.19,43.99.90.160
2735,03.31.03.05.01.30,43.99.90.160
2736,03.31.03.05.01.38,43.99.90.160
2737,03.31.03.05.02.21,77.32.10.000
2738,03.31.03.05.02.24,77.32.10.000
2739,03.31.03.05.02.40,77.32.10.000
2740,03.31.03.05.04.07,77.29.16.000
2741,03.31.02.01.04,77.39.19.129
2742,01.04.03.01.04,29.10.59.140
2743,01.09.01.02.09,29.10.43.000
2744,01.12.05.04,29.10.59.329
2745,01.19.07,32.99.23.120
2746,01.19.09,15.12.12.190
2747,01.20.01.01.01,27.52.11
2748,01.20.01.99.03,27.51.21.129
2749,01.20.01.99.05,27.51.21.129
2750,02.17.01.01,14.19.9
2751,03.07.05.02,33.12.29.900
2752,03.33.03.03,49.39.39.000
2753,01.20.03.04.04.01,22.19.60.110
2754,03.31.03.05.01.27,43.99.90.160
2755,03.31.03.05.02.08,77.32.10.000
2756,03.31.03.05.02.16,77.32.10.000
2757,03.31.03.05.02.29,77.32.10.000
2758,03.31.03.05.04.04,77.29.16.000
2759,01.11.01.07.01.02,28.13
2760,01.12.06,28.22.20.000
2761,03.23.04.02,68.31.16.120
2762,01.01.01.13.01,10.84.12
2763,01.01.01.13.03,10.84
2764,01.07.04.04.02.13,30.99.10.000
2765,01.11.01.05,28.22
2766,01.15.04.03,32.99.12.130
2767,02.02.01.03.03,71.11.22
2768,02.03.01.02.01,41.20.40
2769,02.13.01.01.44,33.20.39.900
2770,02.13.03.49,33.20.39.900
2771,03.07.05.03,33.12.29.900
2772,03.21.01,96.03.11.300
2773,03.04.01.02,88.91
2774,01.20.07.01.01,25.99
2775,01.15.03.10.02,17.23.13.190
2776,01.15.02.05.06,17.23.13
2777,01.02.03,14.12
2778,01.02.09,21.20.1
2779,01.11.03.09.99,22.21
2780,01.12.01.04,28.99.39.190
2781,01.12.04.02.01,29.10.59.321
2782,01.13.07.05.04,27.11.4
2783,01.13.09.04.03.03,26.40.12
2784,01.23.05.07,25.99.29.190
2785,02.02.01.05,71.12.19
2786,02.03.02.02.11,41.20.40
2787,01.01.12.01,10.20.34.126
2788,02.03.05,81.30.10
2789,02.04.03.02.07,42.11
2790,01.03.02.05,27.90.11.900
2791,02.05.02.04.02,42.22
2792,01.08.04,10.89.19.150
2793,02.05.02.04.03,42.22
2794,01.10.03.06,27.12
2795,02.13.03.44,33.20.39.900
2796,01.12.01.14,28.92.27.190
2797,02.13.99.07,72.19.50
2798,03.07.02.05,33.12.29.900
2799,01.15.01.02.01,17.12.77
2800,03.07.99.01,33.12.29.900
2801,01.15.03.12,17.21.15
2802,03.04.01.01.03,87.90.11.000
2803,01.16.26.02,31.01.12.190
2804,01.19.03.03,14.19.11
2805,01.25.02.03.01,28.25.13.110
2806,02.04.03.04,42.22
2807,03.08.03,38.2
2808,03.12.04.99,61.90.10.150
2809,01.20.03.04.04.02,14.12.30.150
2810,01.20.07.08,32.99.52
2811,01.20.07.11.06.04,25.92.1
2812,01.15.03.12.02,31.01.11.120
2813,01.02.06.01.12,17.22.12.130
2814,01.02.06.02,88.99.12.000
2815,01.02.06.02.01,32.99.21.120
2816,01.02.06.02.02,32.50.22.128
2817,01.02.06.03.01.02,20.59.52.199
2818,01.02.06.03.01.03,21.10.60.196
2819,01.02.06.03.02.02,20.59.52.199
2820,01.02.06.03.02.04.01,20.59.52.199
2821,01.02.06.03.02.07,20.59.52.199
2822,01.02.06.03.02.08,20.59.52.199
2823,01.02.06.03.08,21.10.60.196
2824,01.02.06.04.01,32.50.13.190
2825,03.08.02.03,81.29.11.000
2826,03.02.04.01,87.90
2827,01.20.05.01.08,20.42.19
2828,01.20.05.01.05,20.42.15
2829,01.20.03.04.01.02,22.29
2830,01.20.05.01.07,20.42.18
2831,01.20.06.03.03,23.13.13.110
2832,01.02.06.04.02,32.50.13.190
2833,01.02.06.04.06,32.50.13.190
2834,01.02.06.04.14,21.20.24
2835,01.02.06.04.14.01,32.50.13.190
2836,01.02.06.06.01,20.42.15.190
2837,01.02.06.06.03,32.50.13.190
2838,01.02.09.01.06,21.20.10.115
2839,01.02.09.01.12,21.20.10.121
2840,01.02.09.01.15,21.20.10.110
2841,01.02.09.01.16,21.20.10.110
2842,01.02.09.02.06,21.20.10.139
2843,01.02.09.07.05,21.20.10.194
2844,01.02.09.03.04,21.20.10.144
2845,01.02.09.09.04,21.20.10.226
2846,01.15.04,32.99.12
2847,01.02.09.11.01,21.20.10.241
2848,01.15.05,25.99.23.000
2849,01.02.09.11.02,21.20.10.242
2850,01.15.05.07,25.99.22.110
2851,01.02.09.13.02,21.20.10.262
2852,01.15.05.99.01,27.90.11.000
2853,01.03.01.02,26.30.50.123
2854,01.16.03,31.01.12.110
2855,01.03.01.03,26.30.50.119
2856,01.03.01.05,26.30.50.119
2857,01.03.04,26.30.11.130
2858,01.03.06,27.90.33.120
2859,01.03.06.01,27.90.33.110
2860,01.16.05,31.01.12.150
2861,01.16.06,31.01.12.190
2862,01.16.08,31.09.12.129
2863,01.16.25,31.01.11.150
2864,01.16.26.99,31.09.13.190
2865,01.18.04,02.10.11.200
2866,01.18.07,01.19.22
2867,01.19,14.19
2868,01.19.01,14.13
2869,01.03.06.02,26.40.33.190
2870,01.03.07.01,25.99.29.190
2871,01.03.07.99,27.90.20.120
2872,01.04.01.01,28.24.12.120
2873,01.04.01.02,26.30.50.120
2874,01.04.01.04,28.14.13.110
2875,01.04.01.08.01,32.99.11.110
2876,01.04.02.01,32.99.11.190
2877,01.04.02.12,13.92.29.130
2878,01.04.05.02,20.59.52.130
2879,01.05.02.01,26.51.12.190
2880,01.05.02.03,22.23.20.000
2881,01.05.03.01,29.10.59.390
2882,01.06.01,31.01.1
2883,01.06.01.01,31.01.12.190
2884,01.06.01.99,31.01.12.190
2885,01.06.02.01.01,32.99.53.130
2886,01.06.02.02,32.99.53.130
2887,01.06.05,32.99.53.110
2888,01.06.99.07,32.99.53
2889,01.07,31.09
2890,01.07.01.05,31.01.12.190
2891,01.07.03.01.02,32.20.12.120
2892,01.07.03.01.02.05,32.20.12.125
2893,01.07.03.01.03.01,32.20.12.111
2894,01.07.03.01.06,32.20.13
2895,01.07.03.02.01.05,32.20.13.165
2896,01.07.03.02.04.02,32.20.13.175
2897,01.07.03.03,32.20.15.110
2898,01.07.03.03.02.04,32.20.15.110
2899,01.07.03.03.03.04,32.20.15.110
2900,01.07.03.04,32.20.14
2901,01.07.03.04.01,32.20.14.120
2902,01.01.01.01.05,10.61.1
2903,01.07.04.04.01.99,25.11.10.000
2904,01.01.01.01.99,10.61.32.119
2905,01.07.04.04.02.12,25.11.10.000
2906,01.01.01.02.01.04,10.61.22.160
2907,01.07.04.04.03,31.09.11.120
2908,01.01.01.03,10.61.33.140
2909,01.07.05,28.99
2910,01.01.01.06.01.05,10.84.12.150
2911,01.07.06.01.02,32.20.20.120
2912,01.07.06.03.06,26.70.21.120
2913,01.07.06.01.99,32.20.20.190
2914,01.07.06.04,28.29.60.000
2915,01.07.06.03.01,26.70.21.120
2916,01.07.07.99,28.29.84.000
2917,01.07.09.01.03,28.99.32.190
2918,01.07.11.04.01,13.92.16.119
2919,01.07.11.04.05,13.92.16.119
2920,01.07.11.08,32.99.51
2921,01.07.11.99,28.99
2922,01.08.01.01.02,32.30.15.299
2923,01.08.01.01.08,32.30.15.299
2924,01.08.01.03,32.30.15.292
2925,01.08.01.08,32.30.15.299
2926,01.08.01.11,32.30.15.110
2927,01.08.01.23,32.30.15.110
2928,01.08.01.29,32.30.15.292
2929,01.08.01.37,32.30.15.110
2930,01.08.01.39,32.30.15.239
2931,01.08.02.08,32.30.15.140
2932,01.08.02.11,32.30.13.190
2933,01.08.02.27,32.30.15.299
2934,01.08.02.99,13.92.29.190
2935,01.09.01.01,29.10.21.000
2936,01.09.08,29.32.30
2937,01.09.08.01,29.32.30.390
2938,01.09.08.06,26.51.12
2939,01.09.08.07,27.90.11
2940,01.09.08.08,30.30.50
2941,01.09.09.01,29.32.30.390
2942,01.10.01.01.03,06.20.10.130
2943,01.10.02.04,20.59.43.120
2944,01.10.05.01.02,27.40.33
2945,01.01.01.06.99,10.84.12.150
2946,01.01.01.11,10.73.11
2947,01.01.01.12.01.03,10.41.51.000
2948,01.01.01.13.04,01.28.19.000
2949,01.01.01.19.01.03,10.83.13.110
2950,01.01.02.02.02,01.13.44.000
2951,01.01.02.04,01.13.49.190
2952,01.01.02.06.02,01.13.12.130
2953,01.01.02.07,01.13.33.000
2954,01.01.05.01,01.13.80.000
2955,01.01.02.08,01.13.49.110
2956,01.01.06.01,10.71.11
2957,01.01.02.15,01.13.41.120
2958,01.01.07.02.02,10.82.22.112
2959,01.01.02.22,01.13.19.000
2960,01.01.07.20,10.82.23.240
2961,01.01.02.25,01.13.39.140
2962,01.01.08.02.01,10.11.20
2963,01.01.03.07,01.23.14.000
2964,01.01.03.08,01.24.25.000
2965,01.01.08.03.01.06,10.13.14.130
2966,01.01.04.02,01.21.12.120
2967,01.01.09.01.01,01.47.21.000
2968,01.01.04.04,01.25.13.000
2969,01.01.09.01.02,01.47.22.150
2970,01.01.04.06,01.25.19.110
2971,01.01.10.01,10.51.11
2972,01.01.05,01.13.80.000
2973,01.01.10.01.04,10.51.51.110
2974,01.10.05.01.05,27.40.33
2975,01.10.05.02.03.03,27.40.12
2976,01.10.05.02.03.03.01,27.40.12.000
2977,01.11.01.04.04,22.23.12.130
2978,01.11.01.04.09,25.99.11.140
2979,01.11.01.08.01,27.11.42
2980,01.11.02.01.11,28.24.11.000
2981,01.11.02.02.05,25.73.30
2982,01.11.02.09.06,25.73.20.120
2983,01.01.10.03.01,10.51.40.300
2984,01.01.10.06,10.51.40
2985,01.01.10.06.03,10.51.40.110
2986,01.01.11.04.01,10.20.25.111
2987,01.11.03.01.03.01,25.99.29.190
2988,01.11.03.05,20.30.12
2989,01.11.03.05.13,22.23.11.000
2990,01.11.03.08,23.99.13.110
2991,01.11.03.08.03,22.23.11.000
2992,01.11.03.09.03,23.99.19.110
2993,01.11.03.11.02,17.24.11.110
2994,01.11.03.11.07,17.24.11.110
2995,01.11.03.14,22.29.2
2996,01.11.04.01.01,16.23.11.130
2997,01.11.04.02.01.02,16.23.11.110
2998,01.11.04.07,16.23.19.000
2999,01.11.05,23.99.19.190
3000,01.11.05.08,25.11.23.119
3001,01.11.06,22.21.21.130
3002,01.01.13.07,10.86.10.197
3003,01.01.14.03,20.13.52.120
3004,01.01.15.01.01,10.32.12.120
3005,01.01.15.01.08,10.32.19.110
3006,01.01.15.08.06,11.02.11
3007,01.01.16.01.99,10.72.19.140
3008,01.01.16.06,10.13.14.700
3009,01.01.19,10.89
3010,01.02.02.02.01,32.50.13.190
3011,01.02.02.04.01,32.50.13.110
3012,01.02.02.04.05,32.50.13.110
3013,01.02.02.04.08,32.50.13.110
3014,01.02.02.06.03,32.50.13.190
3015,01.02.02.07.01,32.50.13.190
3016,01.02.02.07.07,32.50.13.190
3017,01.11.08,20.59.59.900
3018,01.11.09.03.01,25.99.29.190
3019,01.12,29.10.59.390
3020,01.02.02.07.08,32.50.13.190
3021,01.02.02.07.09,32.50.13.190
3022,01.02.02.14.01,32.50.13.190
3023,01.02.02.15,32.50.13.190
3024,01.02.02.19,32.50.13.190
3025,01.12.03.03,29.10.59.390
3026,01.13.01.01.02,26.20.15.000
3027,01.13.01.02,26.20.1
3028,01.13.02.01,26.20.15.000
3029,01.13.03.99,26.20.15.000
3030,01.13.04,26.20
3031,01.13.04.01.02,26.40.51.000
3032,01.13.04.01.02.02,26.40.51.000
3033,01.13.04.01.02.03,26.20.16.190
3034,01.13.04.04.01,26.20.16.110
3035,01.13.04.99.02,26.20.40.190
3036,01.13.04.99.03,26.20.16.190
3037,01.13.05.03,26.20.21.120
3038,01.02.02.24,32.50.13.190
3039,01.02.03.01,14.12.30
3040,01.13.07.05,27.90.33.120
3041,01.13.09.02.02,26.30.11.110
3042,01.13.09.03.04,26.30.11.110
3043,01.13.09.06.05,26.30.2
3044,01.13.09.07.02,26.40.12.000
3045,01.13.09.99,26.30.11.110
3046,01.13.09.99.04.02,27.90.33.120
3047,01.13.11.01.03,28.99.11.190
3048,01.13.11.01.04,28.23.23.000
3049,01.13.11.03.02,26.40.33.110
3050,01.13.11.03.04.03,26.70.11
3051,01.13.11.03.06,26.40.33.190
3052,01.13.12.03.04,28.23.23.000
3053,01.13.12.06.01.01,26.20.14.000
3054,01.13.14.03,28.23.25.000
3055,01.13.16.07,25.73.30.171
3056,01.13.17.04,26.20.40.190
3057,01.13.17.06,26.20.21.110
3058,01.13.17.11,26.20.40.190
3059,01.13.17.12,26.20.40.190
3060,01.14.04,58.11.16.000
3061,01.15.01.99,17.12.14
3062,01.15.02,17.23.13.191
3063,01.15.02.08,58.19
3064,01.20.07,27.52
3065,01.20.09.01.04,32.40.12.111
3066,01.20.09.01.07,32.40.39.130
3067,01.20.10,27.51.30.000
3068,01.20.11.01,27.51.24.190
3069,01.22.03,68.10.1
3070,01.23,23.69.19.000
3071,01.24.99.01,13.92.11.110
3072,01.25,28.99
3073,01.25.03.01.03,27.51.13.120
3074,01.25.03.01.04,28.22.17.190
3075,02.01.02.02,71.12.31.000
3076,02.01.04.01,71.12.31.000
3077,02.01.04.05,72.19.1
3078,02.01.04.07,71.12.31.000
3079,02.02.01.03.02,71.11.22
3080,02.02.03.02,71.11.21.000
3081,02.02.05,71.12.19
3082,01.10.04.02,27.20.11
3083,01.12.01.18,29.10.59.119
3084,01.15.05.02.05,25.99.22
3085,02.02.05.01.06,71.12.19
3086,02.02.05.02,71.12.19
3087,02.02.05.02.05,71.12.19
3088,02.02.05.03,71.12.19
3089,02.02.05.03.05,71.12.19
3090,02.02.05.04.01,71.12.19
3091,02.02.05.04.02,71.12.19
3092,02.02.05.06,71.12.19
3093,02.02.05.06.01,71.12.19
3094,02.02.05.06.04,71.12.19
3095,02.02.05.07.07,71.12.19
3096,02.02.05.09.01,71.12.19
3097,02.02.05.10.01,71.12.19
3098,02.02.05.14.06,71.12.19
3099,02.02.05.11,71.12.19
3100,02.02.05.15,71.12.19
3101,02.02.05.14.03,71.12.19
3102,02.02.05.15.01,71.12.19
3103,02.02.05.18.04,71.12.19
3104,01.12.01.29,28.92.40.120
3105,02.02.05.20.01,71.12.19
3106,01.15.05.07.03,25.99.22
3107,02.02.05.20.12,71.12.19
3108,02.03.02.05.04,42.22.22.110
3109,02.03.02.08,43.99.90
3110,02.03.07,42.11.20.000
3111,02.04.01.01,41.20.30
3112,02.04.01.02.05,41.20
3113,02.04.03,41.20.40
3114,02.05.01,41.20
3115,02.05.02.03,42.99.29
3116,03.33.02.03,49.39.12
3117,01.20.06.04.02,17.22.13
3118,01.20.03.04.05,13.92.29
3119,03.31.03.05.01.17,43.99.90.160
3120,03.31.03.05.02.02,77.32.10.000
3121,02.05.02.05.03,41.20
3122,02.05.02.06.02,42.99.29
3123,02.05.02.07.03,42.21
3124,02.05.02.10.01,41.20.40
3125,02.06,41.20.30
3126,02.06.01.02.04,41.20.40
3127,02.06.01.02.99,41.20.40
3128,02.06.02.02.02.99,42.11.20.000
3129,02.06.02.02.07,42.11.20.000
3130,02.06.02.03.03,43.22.12.190
3131,02.06.02.05.01,42.22.23
3132,02.06.02.05.03,33.14.19.000
3133,02.06.02.07,42.21.21.000
3134,02.08.99,94.99.12.000
3135,02.09.02,71.12.35.120
3136,02.11.03.05,33.19
3137,02.12.02.06,43.21.10.130
3138,02.12.03,43.21.10.140
3139,02.12.03.03,43.21.10.140
3140,02.04.03.02.06,42.12.20
3141,02.11.03.02,33.14
3142,02.12.07,43.22.12.150
3143,02.13.01.01.50.01,62.01.11.000
3144,02.13.01.02.19,72.20.19.000
3145,02.13.01.02.99,72.20.19.000
3146,02.13.02.44,72.19.13.000
3147,02.13.03.36,71.12.35.120
3148,02.13.03.76,72.19.30.000
3149,02.13.99.02.02,72.19.19.000
3150,02.17.04.04,18.12.19.190
3151,03.01.04.02,86.21.10.130
3152,03.01.99.01.03,86.90.15.000
3153,03.01.99.01.06,86.90.19.190
3154,03.02.02.01,88.99.12.000
3155,01.02.09.03,21.20.10.140
3156,03.03.14.02,85.23.11.000
3157,01.02.09.13,21.20.10.260
3158,01.11.02.05.02,28.29.70.110
3159,01.11.10.02,25.11.1
3160,03.04.02,88.99.19.000
3161,01.13.17.01,26.20.40.190
3162,03.05,56.10.1
3163,01.24.05,20.12
3164,03.16.04,79.12.1
3165,02.03.02.01.01,41.20.40
3166,02.13.99.03,72.20.29
3167,03.06.01.01.01.11,71.12.20.190
3168,03.06.01.01.02,71.12.20.190
3169,03.06.01.01.02.01,71.12.20.190
3170,03.06.01.01.02.02,71.12.20.190
3171,03.06.01.01.02.09,71.12.20.190
3172,03.06.01.01.06,71.12.20.190
3173,03.06.01.01.06.08,71.12.20.190
3174,03.06.01.01.06.10,71.12.20.190
3175,03.06.01.01.08,71.12.20.190
3176,03.06.01.01.10,71.12.20.190
3177,03.07.99.10,33.12.29.900
3178,03.06.01.01.10.03,71.12.20.190
3179,03.06.01.01.14,71.12.20.190
3180,03.06.01.01.17.04,71.12.20.190
3181,03.06.01.01.20.03,71.12.20.190
3182,03.06.01.01.20.08,71.12.20.190
3183,03.06.01.01.22.02,71.12.20.190
3184,03.06.01.01.23.03,71.12.20.190
3185,03.06.01.03.01.11,71.12.20.190
3186,03.06.01.03.01.12,71.12.20.190
3187,03.06.01.03.02.02,71.12.20.190
3188,03.06.01.03.02.09,71.12.20.190
3189,03.06.01.03.03.06,71.12.20.190
3190,03.06.01.03.04.04,71.12.20.190
3191,03.06.01.03.05.01,71.12.20.190
3192,03.06.01.03.05.02,71.12.20.190
3193,03.06.01.03.06.04,71.12.20.190
3194,03.06.01.03.06.11,71.12.20.190
3195,03.06.01.03.08.03,71.12.20.190
3196,03.06.01.03.08.05,71.12.20.190
3197,01.20.07.11.09,22.21.30
3198,01.15.03.13,22.29.25
3199,03.06.01.03.09,71.12.20.190
3200,03.06.01.03.10.03,71.12.20.190
3201,03.06.01.03.11.01,71.12.20.190
3202,03.06.01.03.13.02,71.12.20.190
3203,03.06.01.03.14.02,71.12.20.190
3204,03.06.01.03.14.03,71.12.20.190
3205,03.06.01.03.16,71.12.20.190
3206,03.06.01.03.20.06,71.12.20.190
3207,03.06.01.03.20.08,71.12.20.190
3208,03.06.01.03.20.14,71.12.20.190
3209,03.06.01.03.23.01,71.12.20.190
3210,03.06.01.03.23.03,71.12.20.190
3211,03.06.01.04.07.06,71.12.20.190
3212,03.06.01.04.01,71.12.20.190
3213,03.06.01.04.10,71.12.20.190
3214,03.06.01.04.01.06,71.12.20.190
3215,03.06.01.04.02.04,71.12.20.190
3216,03.06.01.04.14.04,71.12.20.190
3217,03.06.01.04.03,71.12.20.190
3218,03.06.01.04.15.01,71.12.20.190
3219,03.06.01.04.03.01,71.12.20.190
3220,03.06.01.04.16,71.12.20.190
3221,03.06.01.04.04.01,71.12.20.190
3222,03.06.01.04.16.01,71.12.20.190
3223,03.06.01.04.06,71.12.20.190
3224,03.06.01.04.17.04,71.12.20.190
3225,03.06.01.04.18.03,71.12.20.190
3226,03.06.01.04.19.02,71.12.20.190
3227,03.06.01.04.20.12,71.12.20.190
3228,03.06.01.04.23.03,71.12.20.190
3229,03.06.01.04.23.04,71.12.20.190
3230,03.06.01.05.01.10,71.12.20.190
3231,03.06.01.05.02.03,71.12.20.190
3232,03.06.01.05.02.07,71.12.20.190
3233,03.06.01.05.03.01,71.12.20.190
3234,03.06.01.05.03.02,71.12.20.190
3235,03.06.01.05.06,71.12.20.190
3236,03.06.01.05.08.08,71.12.20.190
3237,03.06.01.05.09,71.12.20.190
3238,03.06.01.05.09.02,71.12.20.190
3239,03.06.01.05.11.03,71.12.20.190
3240,03.06.01.05.13,71.12.20.190
3241,03.06.01.05.14.06,71.12.20.190
3242,03.06.01.05.17.02,71.12.20.190
3243,03.06.01.05.20.04,71.12.20.190
3244,03.06.01.05.20.06,71.12.20.190
3245,03.06.01.05.20.14,71.12.20.190
3246,03.06.01.05.22.03,71.12.20.190
3247,03.06.01.05.23.02,71.12.20.190
3248,03.06.01.06,71.12.20.190
3249,03.06.04.01.06,71.12.20.190
3250,03.06.04.02.04,71.12.20.190
3251,03.06.04.04,71.12.20.190
3252,03.06.04.04.01,71.12.20.190
3253,01.15.04.05,20.59.30
3254,01.15.05.04.08.02,17.23.13.190
3255,01.15.05.11,22.29.25
3256,01.15.05.16,25.71.11
3257,01.15.05.17.02,32.99.59
3258,02.12.03.06,33.20.39.900
3259,03.06.04.05.02,71.12.20.190
3260,03.06.04.06.03,71.12.20.190
3261,03.06.04.07.01,71.12.20.190
3262,03.06.04.08.02,71.12.20.190
3263,03.06.04.10,71.12.20.190
3264,03.06.04.11.04,71.12.20.190
3265,03.06.04.13.02,71.12.20.190
3266,03.06.04.16.03,71.12.20.190
3267,03.06.04.17.02,71.12.20.190
3268,03.06.04.17.04,71.12.20.190
3269,03.06.04.18.04,71.12.20.190
3270,03.06.04.19.02,71.12.20.190
3271,03.06.04.22.01,71.12.20.190
3272,03.06.04.23.01,71.12.20.190
3273,03.06.04.23.03,71.12.20.190
3274,03.07.01.04.01,43.99.90.190
3275,03.07.04.13,33.12.26.000
3276,03.07.07.01.01,33.12.29.900
3277,01.15.08.02.02,22.22.19.000
3278,01.11.03.01.99,25.99
3279,01.20.01.03.01,27.51.24.110
3280,01.20.05.02,20.42.19.190
3281,01.20.07.01,25.99
3282,02.03.01.02.06,41.20.40
3283,02.03.02.11,41.20.40
3284,02.12.02.02,33.20.39.900
3285,03.07.02.01,33.12.29
3286,03.07.07,33.13.19.000
3287,03.07.99.03,33.12
3288,03.08.01.01.02,81.29.1
3289,03.08.02.02,81.29.11.000
3290,03.14.04,65.12.90.000
3291,03.10.02.05,43.29.11.140
3292,03.15.02,73.12.19.000
3293,03.12,61.10
3294,03.16.05,55.10.10.000
3295,03.12.01.03,61.10.11.110
3296,03.12.02.02,61.20.11.000
3297,03.17.03.01,93.29.29.000
3298,03.12.04,61.90.10.150
3299,03.12.04.02.02,63.11.21.000
3300,03.18.02,93.19.13.000
3301,03.13.08,62.02.10.000
3302,03.18.09,93.19.19.000
3303,03.20.01,52.10
3304,03.20.03,52.21.24.000
3305,03.20.04,52.10.12.110
3306,03.20.04.01,52.10.12.110
3307,03.24,91.01.12.000
3308,03.25.04,66.11.19.000
3309,03.25.05,66.11.11.000
3310,03.30.04,71.12
3311,03.30.05,71.12
3312,03.30.05.02,71.12
3313,03.30.05.03,71.12
3314,01.06.99.05,32.40.39
3315,03.30.05.05,71.20
3316,03.31.01.01,68.20.12.000
3317,03.31.03.03,49.32.12.000
3318,03.31.03.03.02,49.41.20.000
3319,03.31.03.07.02,51.21.20.120
3320,03.31.04,77.29.1
3321,03.31.04.02,77.29.19.000
3322,03.31.04.03,77.39.19.119
3323,03.33.04,49.31.22.000
3324,03.36.01.02,96.04.10.000
3325,03.36.02.02,95.24
3326,03.36.02.05,95.29.19
3327,03.39.02.04,86.90.19.190
3328,03.39.03,87.90.13.000
3329,03.39.04,88.99.12.000
3330,03.40.01.02,68.10.14.000
